date,number of accidents,Temperature,windspeed
2014-01-01,608,270.44875,2.1666666666666665
2014-01-02,1702,271.28372916666666,3.2916666666666665
2014-01-03,1371,263.5827083333333,3.5833333333333335
2014-01-04,903,262.51416597241666,1.7083333333333333
2014-01-05,775,268.07416666666666,0.9583333333333334
2014-01-06,838,279.5670833333333,2.2083333333333335
2014-01-07,939,262.47875,4.875
2014-01-08,925,262.0939375,2.75
2014-01-09,874,268.5029166666667,2.2916666666666665
2014-01-10,1477,271.17249999999996,2.125
2014-01-11,816,279.8520833333333,2.0833333333333335
2014-01-12,467,281.19895833333334,2.7916666666666665
2014-01-13,820,277.0883333333333,2.5
2014-01-14,790,279.90213110941664,2.7916666666666665
2014-01-15,1046,277.03223159654164,2.2916666666666665
2014-01-16,771,276.7590625,2.7916666666666665
2014-01-17,876,283.826548152125,2.9583333333333335
2014-01-18,1085,284.793,3.0
2014-01-19,638,277.0229166666667,3.2083333333333335
2014-01-20,711,276.34166666666664,2.5416666666666665
2014-01-21,1324,269.0777083333333,3.1666666666666665
2014-01-22,870,261.421875,3.5416666666666665
2014-01-23,1044,261.71708333333333,2.9583333333333335
2014-01-24,1165,263.08666666666664,2.9583333333333335
2014-01-25,1212,266.5420833333333,2.0833333333333335
2014-01-26,816,266.54750879383334,3.7916666666666665
2014-01-27,1088,271.8208333333333,3.1666666666666665
2014-01-28,797,264.8770833333333,5.0
2014-01-29,1158,264.5416666666667,4.041666666666667
2014-01-30,967,265.61375,2.7916666666666665
2014-01-31,889,270.7135,4.166666666666667
2014-02-01,838,274.8545833333333,0.75
2014-02-02,539,278.0322222222222,1.3333333333333333
2014-02-03,1379,274.92083333333335,4.416666666666667
2014-02-04,839,270.13500000000005,2.25
2014-02-05,1058,272.34666666666664,3.9583333333333335
2014-02-06,921,270.1779166666667,4.083333333333333
2014-02-07,1049,269.59625,4.0
2014-02-08,655,268.86,2.875
2014-02-09,852,268.3566666666666,2.0833333333333335
2014-02-10,1045,268.65916666666664,4.25
2014-02-11,897,265.82374999999996,3.8333333333333335
2014-02-12,920,264.8070833333333,4.125
2014-02-13,1076,270.46541666666667,7.208333333333333
2014-02-14,1184,274.42125,8.333333333333334
2014-02-15,787,273.1645833333334,3.4166666666666665
2014-02-16,616,269.4875,5.791666666666667
2014-02-17,702,268.16291666666666,3.9166666666666665
2014-02-18,860,270.9845833333334,2.4583333333333335
2014-02-19,829,272.9579166666667,1.7083333333333333
2014-02-20,894,277.5754166666666,2.3333333333333335
2014-02-21,868,276.57041666666663,2.5416666666666665
2014-02-22,748,277.7791666666667,4.208333333333333
2014-02-23,496,278.77166666666665,1.2916666666666667
2014-02-24,739,276.6933333333333,5.833333333333333
2014-02-25,687,270.5229166666666,5.125
2014-02-26,877,269.60083333333336,3.9583333333333335
2014-02-27,1018,266.825,4.208333333333333
2014-02-28,1183,264.16875,4.75
2014-03-01,654,267.645,1.625
2014-03-02,583,274.83,2.0
2014-03-03,733,269.1066666666666,5.541666666666667
2014-03-04,709,265.172125,3.1666666666666665
2014-03-05,740,271.37622916666663,1.7916666666666667
