datetime,Date,Load [MW]
2016-01-01 01:00:00,01.01.16 01:00,5589.913152
2016-01-01 02:00:00,01.01.16 02:00,5745.922407
2016-01-01 03:00:00,01.01.16 03:00,5868.390819
2016-01-01 04:00:00,01.01.16 04:00,5756.1949079999995
2016-01-01 05:00:00,01.01.16 05:00,5557.777443
2016-01-01 06:00:00,01.01.16 06:00,5489.124493
2016-01-01 07:00:00,01.01.16 07:00,5246.663657
2016-01-01 08:00:00,01.01.16 08:00,5092.016884000001
2016-01-01 09:00:00,01.01.16 09:00,5112.505493
2016-01-01 10:00:00,01.01.16 10:00,5222.801913
2016-01-01 11:00:00,01.01.16 11:00,5207.713070000001
2016-01-01 12:00:00,01.01.16 12:00,5266.41204
2016-01-01 13:00:00,01.01.16 13:00,5700.687278
2016-01-01 14:00:00,01.01.16 14:00,5591.175176
2016-01-01 15:00:00,01.01.16 15:00,5494.0815920000005
2016-01-01 16:00:00,01.01.16 16:00,5400.573861999999
2016-01-01 17:00:00,01.01.16 17:00,5439.887985
2016-01-01 18:00:00,01.01.16 18:00,5622.84941
2016-01-01 19:00:00,01.01.16 19:00,5718.760998
2016-01-01 20:00:00,01.01.16 20:00,5556.574885
2016-01-01 21:00:00,01.01.16 21:00,5509.363153
2016-01-01 22:00:00,01.01.16 22:00,5543.057207
2016-01-01 23:00:00,01.01.16 23:00,5775.577509000001
2016-01-02 00:00:00,02.01.16 00:00,5616.140568
2016-01-02 01:00:00,02.01.16 01:00,5533.426168999999
2016-01-02 02:00:00,02.01.16 02:00,5685.335037
2016-01-02 03:00:00,02.01.16 03:00,5769.300157
2016-01-02 04:00:00,02.01.16 04:00,5774.0599520000005
2016-01-02 05:00:00,02.01.16 05:00,5470.5215960000005
2016-01-02 06:00:00,02.01.16 06:00,5464.654366
2016-01-02 07:00:00,02.01.16 07:00,5434.947845000001
2016-01-02 08:00:00,02.01.16 08:00,5175.102293999999
2016-01-02 09:00:00,02.01.16 09:00,5205.963288
2016-01-02 10:00:00,02.01.16 10:00,5289.233426
2016-01-02 11:00:00,02.01.16 11:00,5446.308033
2016-01-02 12:00:00,02.01.16 12:00,5608.162107
2016-01-02 13:00:00,02.01.16 13:00,5764.097113000001
2016-01-02 14:00:00,02.01.16 14:00,5852.277696
2016-01-02 15:00:00,02.01.16 15:00,5840.762986
2016-01-02 16:00:00,02.01.16 16:00,5751.906952
2016-01-02 17:00:00,02.01.16 17:00,5846.922828
2016-01-02 18:00:00,02.01.16 18:00,6054.313983
2016-01-02 19:00:00,02.01.16 19:00,6041.169129
2016-01-02 20:00:00,02.01.16 20:00,5800.402777
2016-01-02 21:00:00,02.01.16 21:00,5609.182189
2016-01-02 22:00:00,02.01.16 22:00,5823.1594509999995
2016-01-02 23:00:00,02.01.16 23:00,5870.886878
2016-01-03 00:00:00,03.01.16 00:00,5685.708627
2016-01-03 01:00:00,03.01.16 01:00,5626.195953
2016-01-03 02:00:00,03.01.16 02:00,5532.2381399999995
2016-01-03 03:00:00,03.01.16 03:00,5476.029239
2016-01-03 04:00:00,03.01.16 04:00,5391.869259
2016-01-03 05:00:00,03.01.16 05:00,5358.772504
2016-01-03 06:00:00,03.01.16 06:00,5338.865521
2016-01-03 07:00:00,03.01.16 07:00,5241.233045
2016-01-03 08:00:00,03.01.16 08:00,5175.66986
2016-01-03 09:00:00,03.01.16 09:00,5164.72102
2016-01-03 10:00:00,03.01.16 10:00,5382.950533
2016-01-03 11:00:00,03.01.16 11:00,5445.695769
2016-01-03 12:00:00,03.01.16 12:00,5478.78159
2016-01-03 13:00:00,03.01.16 13:00,5733.088511999999
2016-01-03 14:00:00,03.01.16 14:00,5656.25071
2016-01-03 15:00:00,03.01.16 15:00,5561.570659
2016-01-03 16:00:00,03.01.16 16:00,5604.084887
2016-01-03 17:00:00,03.01.16 17:00,5758.039662
2016-01-03 18:00:00,03.01.16 18:00,6012.211081
2016-01-03 19:00:00,03.01.16 19:00,6123.896204
2016-01-03 20:00:00,03.01.16 20:00,5937.886288000001
2016-01-03 21:00:00,03.01.16 21:00,5681.353742
2016-01-03 22:00:00,03.01.16 22:00,5550.155957
2016-01-03 23:00:00,03.01.16 23:00,5821.8659020000005
2016-01-04 00:00:00,04.01.16 00:00,5696.746097
